strain_id	gene_name
20201107WFFT070	Bmp1-other
20201107WFFT070	Bmp1-other
20201107WFFT070	Bmp1-other
20201107WFFT070	Bmp1-other
20201110ZZHT041	Bmp1-other
20201110ZZHT041	Bmp1-other
20201110ZZHT041	Bmp1-other
20201110ZZHT041	Bmp1-other
20201111LHCT028	Bmp1-other
20201111LHCT028	Bmp1-other
20201111LHCT028	Bmp1-other
20201111LHCT028	Bmp1-other
20201112LRT007	Bmp1-other
20201112LRT007	Bmp1-other
20201112LRT007	Bmp1-other
20201112LRT007	Bmp1-other
20201115ZZHT053	Bmp1-other
20201115ZZHT053	Bmp1-other
20201115ZZHT053	Bmp1-other
20201115ZZHT053	Bmp1-other
20201119LRT012	Bmp1-other
20201119LRT012	Bmp1-other
20201119LRT012	Bmp1-other
20201119LRT012	Bmp1-other
20210103TZYT015	Bmp1-other
20210103TZYT015	Bmp1-other
20210103TZYT015	Bmp1-other
20210104ZKYT001	Bmp1-other
20210104ZKYT001	Bmp1-other
20210104ZKYT001	Bmp1-other
20210104ZKYT001	Bmp1-other
20210106QYHT004	Bmp1-other
20210106QYHT004	Bmp1-other
20210106QYHT004	Bmp1-other
20210106QYHT004	Bmp1-other
20210106ZJYT004	Bmp1-other
20210106ZJYT004	Bmp1-other
20210106ZJYT004	Bmp1-other
20210106ZJYT004	Bmp1-other
20210106ZJYT004	Bmp1-other
20210106ZJYT004	Bmp1-other
20210107ZKYT003	Bmp1-other
20210107ZKYT003	Bmp1-other
20210107ZKYT003	Bmp1-other
20210107ZKYT003	Bmp1-other
20210109QYHT007	Bmp1-other
20210109QYHT007	Bmp1-other
20210109QYHT007	Bmp1-other
20210109QYHT007	Bmp1-other
20210117QYHT082	Bmp1-other
20210117QYHT082	Bmp1-other
20210117QYHT082	Bmp1-other
20210117QYHT082	Bmp1-other
20210117QYHT091	Bmp1-other
20210117QYHT091	Bmp1-other
20210117QYHT091	Bmp1-other
20210117QYHT091	Bmp1-other
20210117ZKYT031	Bmp1-other
20210117ZKYT031	Bmp1-other
20210117ZKYT031	Bmp1-other
20210117ZKYT095	Bmp1-other
20210117ZKYT095	Bmp1-other
20210117ZKYT095	Bmp1-other
20210117ZKYT095	Bmp1-other
20210117ZKYT108	Bmp1-other
20210117ZKYT108	Bmp1-other
20210117ZKYT108	Bmp1-other
20210117ZKYT108	Bmp1-other
20210118ZKYT152	Bmp1-other
20210118ZKYT152	Bmp1-other
20210118ZKYT152	Bmp1-other
20210118ZKYT152	Bmp1-other
20210118ZKYT169	Bmp1-other
20210118ZKYT169	Bmp1-other
20210118ZKYT169	Bmp1-other
20210118ZKYT169	Bmp1-other
20210118ZKYT182	Bmp1-other
20210118ZKYT182	Bmp1-other
20210118ZKYT182	Bmp1-other
20210118ZKYT182	Bmp1-other
20210119QYHT099	Bmp1-other
20210119QYHT099	Bmp1-other
20210119QYHT099	Bmp1-other
20210119QYHT099	Bmp1-other
20210119QYHT109	Bmp1-other
20210119QYHT109	Bmp1-other
20210119QYHT109	Bmp1-other
20210119QYHT118	Bmp1-other
20210119QYHT118	Bmp1-other
20210119QYHT118	Bmp1-other
20210119ZJYT021	Bmp1-other
20210119ZJYT021	Bmp1-other
20210119ZJYT021	Bmp1-other
20210119ZJYT023	Bmp1-other
20210119ZJYT023	Bmp1-other
20210119ZJYT023	Bmp1-other
20210405ZJXT001	Bmp1-other
20210405ZJXT001	Bmp1-other
20210405ZJXT001	Bmp1-other
20210410ZJXT012	Bmp1-other
20210410ZJXT012	Bmp1-other
20210422ZJXT025	Bmp1-other
20210422ZJXT025	Bmp1-other
20210530WQZT058	Bmp1-other
20210530WQZT058	Bmp1-other
20210530WQZT076	Bmp1-other
20210530WQZT076	Bmp1-other
20210530WQZT086	Bmp1-other
20210530WQZT086	Bmp1-other
20210725ZMZT005	Bmp1-other
20210801ZMZT009	Bmp1-other
20210801ZMZT015	Bmp1-other
20210801ZMZT015	Bmp1-other
20210801ZMZT016	Bmp1-other
20210801ZMZT016	Bmp1-other
20210801ZMZT016	Bmp1-other
20210801ZMZT016	Bmp1-other
20210801ZMZT017	Bmp1-other
20210801ZMZT017	Bmp1-other
20210801ZMZT017	Bmp1-other
20210801ZMZT017	Bmp1-other
20210803MYHT001	Bmp1-other
20210803MYHT001	Bmp1-other
20210803MYHT001	Bmp1-other
