strain	toxin
20150924WLTT107	Vpb4Ca1
20150924WLTT107	Vip3Aa7
20150924WLTT107	Cry2Ab35
20150924WLTT108	Mpp46Ab1
20150924WLTT119	Mpp46Ab1
20150924WLTT121	Mpp46Ab1
20150924WLTT121	App6Ba1
20150924WLTT122	Tpp80Aa1
20150924WLTT122	Tpp80Aa1
20150924WLTT122	Vip2Ah2
20150924WLTT122	Vpb1Ca1
20150924WLTT131	Tpp80Aa1
20150924WLTT131	Tpp80Aa1
20150924WLTT150	Tpp80Ab1
20150924WLTT150	Mpp46Ab1
20150622XYBT032	Vpb4Ca1
20150622XYBT032	Tpp1Aa5
20150622XYBT032	Vpb4Aa2
20150622XYBT035	Vpb4Ca1
20150622XYBT035	Tpp1Aa5
20150622XYBT035	Vpb4Aa2
20150711GYST046	Vpb4Ca1
20150711GYST046	Vpb4Aa2
20150711GYST046	Vpb4Ca1
20150711GYST067	Tpp80Ab1
20150711ZHBT058	Vpb4Ca1
20150711ZHBT058	Vpb4Ca1
20150715GYST075	Vpb4Ca1
20150715GYST075	Vpb4Ca1
20150715GYST077	Vpb4Ca1
20150715GYST077	Vpb4Ca1
20150715GYST078	Vpb4Ca1
20150715GYST078	Vpb4Ca1
20150715GYST080	Vpb4Ca1
20150715GYST080	Vpb4Ca1
20150715GYST085	Vpb4Ca1
20150715GYST085	Vpb4Aa2
20150715GYST085	Vpb4Ca1
20150715ZHBT063	Vpb4Ca1
20150715ZHBT063	Vpb4Ca1
20150722ZHBT089	Vpb4Ca1
20150722ZHBT094	Vpb4Ca1
20150722ZHBT094	Vpb4Aa2
20150722ZHBT094	Vpb4Ca1
20150722ZHBT095	Vpb4Ca1
20150722ZHBT095	Vpb4Ca1
20130101LHLT001	Vip3Aa7
20130101LHLT001	Cry1Aa3
20130101LHLT001	Cry2Ab35
20130101LHLT001	Cry1Ia44
20130101LHLT001	Cry2Aa9
20130101LHLT004	Cry1Ea7
20130101LHLT009	Cry2Aa9
20130101LHLT009	Vip3Aa7
20130101LHLT009	Cry1Aa3
20130101LHLT009	Cry2Ab35
20130101LHLT009	Cry1Ia44
20130101LHLT026	Cry2Aa9
20130101LHLT026	Vip3Aa7
20130101LHLT026	Cry1Aa3
20130101LHLT026	Cry2Ab35
20130101LHLT026	Cry1Ia44
20130101LHLT028	Cry1Ia44
20130101LHLT028	Cry9Ea9
20130101LHLT028	Cry1Ac9
20130101LHLT028	Cry1Aa18
20130101LHLT028	Cry1Ac5
20130101LHLT028	Cry1Aa6
20130101LHLT028	Cry1Da2
20130101LHLT028	Cry1Ca9
20130101LHLT028	Vip3Bc1
20130101LHLT028	Tpp78Ba1
20130101LHLT028	Vip3Aa7
20130101LHLT028	Cry2Ab35
20130103WXXT001	Cry1Ea7
20130105LHLT033	Vip3Aa7
20130105LHLT033	Cry1Aa3
20130105LHLT033	Cry2Ab35
20130105LHLT033	Cry1Ia44
20130105LHLT033	Cry2Aa9
20130105LHLT057	Cry1Ea7
20130105LHLT067	Cry1Ea7
20130106LHLT068	Vip3Aa7
20130106LHLT068	Cry1Aa3
20130106LHLT068	Cry2Ab35
20130106LHLT068	Cry1Ia44
20130106LHLT068	Cry2Aa9
20130106LHLT080	Cry1Ea7
20130106LHLT083	Cry1Ia44
20130106LHLT083	Cry9Ea9
20130106LHLT083	Cry1Ac9
20130106LHLT083	Cry1Aa18
20130106LHLT083	Cry1Ac5
20130106LHLT083	Cry1Aa6
20130106LHLT083	Cry1Da2
20130106LHLT083	Cry1Ca9
20130106LHLT083	Vip3Bc1
20130106LHLT083	Tpp78Ba1
20130106LHLT083	Vip3Aa7
20130106LHLT083	Cry2Ab35
20130108NXTT145	Cry1Aa3
20130108NXTT145	Cry1Ia44
20130108NXTT145	Cry9Ea9
20130108NXTT145	Cry1Ca9
20130108NXTT145	Vip3Bc1
20130108NXTT145	Cry1Da2
20130108NXTT145	Tpp78Ba1
20130108NXTT145	Vip3Aa7
20130108NXTT145	Cry2Ab35
20130108NXTT146	Cry1Ia44
20130108NXTT146	Cry9Ea9
20130108NXTT146	Cry1Ac9
20130108NXTT146	Cry1Aa17
20130108NXTT146	Cry1Gc1
20130108NXTT146	Cry1Aa6
20130108NXTT146	Cry1Da2
20130108NXTT146	Cry1Ca9
20130108NXTT146	Vip3Bc1
20130108NXTT146	Tpp78Ba1
20130108NXTT146	Vip3Aa7
20130108NXTT146	Cry2Ab35
